Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,600383 - RICARDO RODRIGUES DOS SANTOS,90.0,1582.2,4.2,12.87,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,601783 - ALLAN MANOEL DE ARAUJO,89.9,1809.3,4.3,34.14,82.87
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62517 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,89.9,1915.5,2.7,30.69,132.89
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,359269 - IZAILTON TARGINO DA SILVA,89.5,2082.8,2.1,37.62,153.26
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,89.2,1900.0,4.0,35.76,79.29
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,602047 - JEFFERSON CALIXTO DOS ANJOS,89.1,1956.5,4.1,34.18,89.53
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,281 - COLHEITA DE MUDA,COLHEDORA JOHN DEERE CH570,62516 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,88.4,2073.2,3.4,30.00,265.11
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,88.3,1978.2,4.4,34.76,101.77
CAPINÓPOLIS - MG,SULCAGEM,182 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62248 - TRATOR JOHN DEERE 7230J,601173 - RONILSON LIMA DE OLIVEIRA,88.0,1582.6,5.6,17.32,61.12
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62507 - COLHEDORA JOHN DEERE CH570,601306 - DIEGO VINICIOS SILVA COSTA,86.7,1870.3,4.9,29.67,65.84
CAPINÓPOLIS - MG,AGUA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62233 - TRATOR JOHN DEERE 7230J,600765 - RODRIGO GOMES VILARINHO,86.3,1704.8,4.4,8.89,
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,600394 - SERGIO BARBOSA PEREIRA,86.3,1873.4,5.3,16.34,79.20
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62503 - COLHEDORA JOHN DEERE CH570,600404 - PAULO FERNANDO DA SILVA,86.2,1678.2,4.0,25.39,65.00
CAPINÓPOLIS - MG,VINHACA - 3 APLICACAO,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62249 - TRATOR JOHN DEERE 7230J,'-1 - * não definido *,85.9,,,12.63,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62517 - COLHEDORA JOHN DEERE CH570,359650 - WELLINGTON OLIONES NOGUEIRA,85.9,1860.9,5.6,37.32,58.79
CAPINÓPOLIS - MG,AGUA - 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62244 - TRATOR JOHN DEERE 7230J,600277 - PEDRO HENRIQUE RODRIGUES ZUMBA,85.9,,,14.60,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,601116 - RICARDO TAVARES DO NASCIMENTO,85.1,1845.2,3.8,29.34,99.63
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 7230J,62227 - TRATOR JOHN DEERE 7230J,359641 - OLIVEIRA JOSE DE MEDEIROS,84.7,1867.1,4.0,13.31,89.24
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,601547 - LUAN ROBERTO DOS SANTOS,84.7,1926.9,3.9,35.52,92.14
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,359711 - JOAO LUIZ JANUARIO DA SILVA,84.4,2102.2,4.4,34.07,121.60
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,359236 - FERNANDO GONCALVES DE SOUZA,84.3,1895.3,4.5,31.71,93.82
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,261 - PLANTIO PLANTADEIRA,TRATOR JOHN DEERE 7230J,62249 - TRATOR JOHN DEERE 7230J,359240 - JORGE LUIS SILVA MATIAS,84.2,1987.6,4.9,20.65,33.55
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,601007 - LUIS FERNANDO DA SILVA ANDRADE,84.0,1919.1,4.1,30.51,91.03
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,83.7,1984.3,3.9,36.92,271.96
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,602020 - LUIZ CARLOS DOS SANTOS OLIVEIRA,83.5,1597.6,4.4,8.97,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,600272 - LAURO HENRIQUE ALVES TOMAZ,83.2,1975.2,4.1,31.87,103.91
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,601189 - PAULO DA SILVA,83.1,1708.8,5.5,9.61,
CAPINÓPOLIS - MG,SUBSOLAGEM,182 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62228 - TRATOR JOHN DEERE 7230J,359757 - CLAUDIO MARCIO DOS SANTOS,82.8,,,11.02,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,600751 - HUGO EDUARDO FELIPE DOS SANTOS OLIVEIRA,82.6,1830.6,4.2,32.53,81.12
CAPINÓPOLIS - MG,SUBSOLAGEM,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62238 - TRATOR JOHN DEERE 7230J,600765 - RODRIGO GOMES VILARINHO,82.5,1969.1,5.2,21.16,38.91
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62503 - COLHEDORA JOHN DEERE CH570,601255 - FELIPE AUGUSTO DE AZEVEDO SANT ANNA,81.8,1890.5,4.0,27.92,134.18
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,601044 - ANGELO GABRIEL DA SILVA SOUZA,81.4,1878.5,4.6,32.03,68.98
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,601304 - ANDRE SILVIO VILELA,81.1,,,12.04,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62503 - COLHEDORA JOHN DEERE CH570,600751 - HUGO EDUARDO FELIPE DOS SANTOS OLIVEIRA,81.0,1687.6,4.0,25.10,66.48
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62244 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,81.0,1893.5,3.4,15.97,18.34
CAPINÓPOLIS - MG,SEMEIO MEC PLANTADEIRA,241 - CAPINÓPOLIS - PLANTIO MECANIZADO (DISTRIBUIDORA),TRATOR JOHN DEERE 6190J,62256 - TRATOR JOHN DEERE 6190J,601133 - MARCONE TOMAZ FLAUSINO FRANCO,80.8,1771.8,5.8,11.80,
CAPINÓPOLIS - MG,SUBSOLAGEM,401 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,359931 - RAFAEL FERREIRA DA SILVA,80.8,1738.0,4.9,17.33,445.05
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,601004 - ROBERVAL ROSENDO DA COSTA,80.6,1801.9,4.8,29.46,1361.55
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,261 - PLANTIO PLANTADEIRA,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,601726 - PAULO JOSE DA SILVA,79.9,1888.7,5.2,16.62,35.84
CAPINÓPOLIS - MG,GRADAGEM PESADA,141 - CAPINÓPOLIS - FRENTE PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62247 - TRATOR JOHN DEERE 7230J,999999 - OPERADOR GENÉRICO,79.7,,,13.64,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62504 - COLHEDORA JOHN DEERE CH570,359634 - BENEDITO JOSE DA SILVA,79.7,1887.5,4.4,29.51,64.21
CAPINÓPOLIS - MG,GRADAGEM PESADA,182 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62242 - TRATOR JOHN DEERE 7230J,999999 - OPERADOR GENÉRICO,79.2,1493.2,8.3,7.58,45.49
CAPINÓPOLIS - MG,SULCAGEM,182 - PREPARO DE SOLO,TRATOR JOHN DEERE 6190J,62260 - TRATOR JOHN DEERE 6190J,999999 - OPERADOR GENÉRICO,79.0,1866.1,4.5,11.03,
CAPINÓPOLIS - MG,GRADAGEM PESADA,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62242 - TRATOR JOHN DEERE 7230J,'-1 - * não definido *,78.8,1649.9,6.3,12.88,26.72
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62229 - TRATOR JOHN DEERE 7230J,600383 - RICARDO RODRIGUES DOS SANTOS,78.3,1612.3,5.9,10.65,11.91
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,601707 - DALTON LUIS FERREIRA BARBOSA,78.3,1610.5,4.6,12.26,
CAPINÓPOLIS - MG,SEMEIO MEC PLANTADEIRA,262 - PLANTIO DISTRIBUIDORA,TRATOR JOHN DEERE 6190J,62257 - TRATOR JOHN DEERE 6190J,600872 - MELISSA DESSOLES DE LIMA,78.3,1638.7,6.0,11.10,32.86
CAPINÓPOLIS - MG,SUBSOLAGEM,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62243 - TRATOR JOHN DEERE 7230J,601028 - JOSE MAURICIO FERNANDES DA SILVA,78.1,1732.2,4.8,23.52,58.83
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62519 - COLHEDORA JOHN DEERE CH570,359689 - FERNANDO COSTA DE ARAUJO,77.6,1697.8,5.1,28.33,46.53
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62517 - COLHEDORA JOHN DEERE CH570,602035 - GUSTAVO HENRIQUE MARTINS COSTA,77.3,1643.5,5.2,30.63,51.17
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,77.3,1878.1,5.8,12.24,
CAPINÓPOLIS - MG,SEMEIO MEC PLANTADEIRA,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 6190J,62250 - TRATOR JOHN DEERE 6190J,600872 - MELISSA DESSOLES DE LIMA,77.2,1764.6,4.9,11.21,46.47
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62507 - COLHEDORA JOHN DEERE CH570,359910 - JOSE EDVAN LOURENCO,77.1,1696.0,3.8,26.32,79.89
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,600277 - PEDRO HENRIQUE RODRIGUES ZUMBA,76.8,1371.3,4.3,10.97,
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62237 - TRATOR JOHN DEERE 7230J,600383 - RICARDO RODRIGUES DOS SANTOS,76.8,1840.7,3.4,13.80,14.80
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,600301 - ALEXANDRE ELIAS SANTOS SILVA,76.8,1868.9,4.5,33.26,77.96
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,600167 - BRUNO HENRIQUE OLIVEIRA SANTOS,76.4,1837.7,5.2,15.86,48.24
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,600893 - MATHEUS PEREIRA RODRIGUES DA CUNHA,76.3,2058.1,4.2,35.58,100.36
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,600740 - DOUGLAS MALDONATTO DOS SANTOS,76.1,1741.5,3.6,26.47,74.04
CAPINÓPOLIS - MG,AGUA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,75.3,1720.1,4.9,13.97,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62519 - COLHEDORA JOHN DEERE CH570,601130 - JOSENILDO DA SILVA,74.9,1947.2,4.6,32.19,66.96
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,81 - Frente 1,TRATOR JOHN DEERE 7230J,62237 - TRATOR JOHN DEERE 7230J,600189 - JESSICA GOMES DE LUCENA,74.8,1823.1,3.3,12.64,15.36
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,601130 - JOSENILDO DA SILVA,74.7,1778.5,3.8,29.36,96.93
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,74.5,2126.4,5.0,40.22,247.87
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,74.5,1566.8,4.2,8.68,
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,359246 - RONALDO HUMBERTO BORGES,74.4,1948.1,4.8,19.87,110.71
CAPINÓPOLIS - MG,SUBSOLAGEM,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62243 - TRATOR JOHN DEERE 7230J,600859 - WELLINGTON DE ASSIS BERNARDES,74.4,1625.6,5.0,18.54,38.49
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,601130 - JOSENILDO DA SILVA,74.1,1905.5,4.2,34.22,97.60
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,73.5,2085.9,2.9,32.33,153.53
CAPINÓPOLIS - MG,GRADAGEM PESADA,82 - Frente 2,TRATOR JOHN DEERE 6190M,32202 - TRATOR JOHN DEERE 6190M,'-1 - * não definido *,72.9,,,,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,601306 - DIEGO VINICIOS SILVA COSTA,72.6,1823.8,4.6,32.50,81.47
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62518 - COLHEDORA JOHN DEERE CH570,601703 - MAILON LOURENCO FERREIRA,72.2,1783.9,5.1,32.95,69.42
CAPINÓPOLIS - MG,SUBSOLAGEM,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62233 - TRATOR JOHN DEERE 7230J,600874 - GERALDO FERREIRA DA SILVA NETO,72.1,1903.1,4.7,25.53,36.09
CAPINÓPOLIS - MG,SEMEIO MEC PLANTADEIRA,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 6190J,62220 - TRATOR JOHN DEERE 6190J,359609 - VERINALDO DOS SANTOS SILVA,71.8,1850.8,5.1,11.20,50.52
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62248 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,71.8,1897.8,3.2,12.03,22.55
CAPINÓPOLIS - MG,SUBSOLAGEM,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62243 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,71.7,1794.6,4.9,21.25,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,601044 - ANGELO GABRIEL DA SILVA SOUZA,71.6,1977.6,5.0,36.66,86.18
CAPINÓPOLIS - MG,SEMEIO MEC PLANTADEIRA,241 - CAPINÓPOLIS - PLANTIO MECANIZADO (DISTRIBUIDORA),TRATOR JOHN DEERE 6190J,62256 - TRATOR JOHN DEERE 6190J,600822 - SAMUEL FERREIRA DE LIMA,71.4,1864.9,6.1,11.42,
CAPINÓPOLIS - MG,GRADAGEM PESADA,182 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62249 - TRATOR JOHN DEERE 7230J,600894 - CESAR VIEIRA MARTINS,71.1,1781.4,5.1,14.04,30.11
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,601725 - ALDERSON JOSE SANTOS FILHO,70.7,1988.8,4.5,29.61,76.15
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62517 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,70.5,1882.6,5.1,32.68,65.55
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,359654 - ROSIVALDO DA SILVA QUEIROZ,70.2,1602.0,4.1,8.36,
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,601136 - VANESSA CASSIA SANTOS DE OLIVEIRA,70.2,1686.4,5.2,11.89,
CAPINÓPOLIS - MG,SEMEIO MEC PLANTADEIRA,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 6190J,62217 - TRATOR JOHN DEERE 6190J,600256 - GENILSON RODRIGUES DA SILVA,69.8,1785.7,4.4,9.72,47.72
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62238 - TRATOR JOHN DEERE 7230J,600765 - RODRIGO GOMES VILARINHO,69.7,1881.4,3.3,14.13,21.59
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,601254 - JORGE GONCALVES DA SILVA,69.6,1651.9,4.8,11.23,
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,600765 - RODRIGO GOMES VILARINHO,69.6,1955.6,5.1,11.02,
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 7230J,62236 - TRATOR JOHN DEERE 7230J,359641 - OLIVEIRA JOSE DE MEDEIROS,69.4,1880.5,4.5,16.78,68.95
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62504 - COLHEDORA JOHN DEERE CH570,601763 - ALEX SANDRO LOPES DOS SANTOS,69.4,1851.7,3.4,27.20,78.40
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,359916 - JOSE ELIAS DOS SANTOS,69.0,1801.7,5.1,34.79,52.75
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,600763 - RIVANILDO ANDRE DE LIMA,68.4,1913.8,4.7,35.79,71.55
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,601670 - GUSTAVO FREITAS MORAES VILELA FRANCO,68.1,1582.0,4.2,12.74,
CAPINÓPOLIS - MG,SEMEIO MEC PLANTADEIRA,262 - PLANTIO DISTRIBUIDORA,TRATOR JOHN DEERE 6190J,62256 - TRATOR JOHN DEERE 6190J,600822 - SAMUEL FERREIRA DE LIMA,68.0,1732.1,6.3,12.56,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,359605 - LEANDRO RIBEIRO DA SILVEIRA,67.8,1824.3,4.0,31.19,73.36
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,359654 - ROSIVALDO DA SILVA QUEIROZ,67.8,,,26.16,
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,142 - PREPARO DE SOLO,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,359699 - EURIPEDES MATIAS DA COSTA,67.5,,,19.21,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,359653 - GENIVALDO DA SILVA QUEIROZ,67.4,1786.0,3.6,29.84,87.30
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62512 - COLHEDORA JOHN DEERE CH570,601508 - EZEQUIEL VICENTE DOS SANTOS,67.1,1839.6,4.6,32.06,68.05
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62516 - COLHEDORA JOHN DEERE CH570,601725 - ALDERSON JOSE SANTOS FILHO,67.1,1763.2,4.4,30.93,68.17
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - PLANTIO,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,66.8,1898.4,4.5,35.91,76.82
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62515 - COLHEDORA JOHN DEERE CH570,601747 - JOSE MAGNUS FAUSTINO DA SILVA,66.8,1796.9,4.3,33.05,78.19
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62515 - COLHEDORA JOHN DEERE CH570,600293 - CICERO MESSIAS DE OLIVEIRA,66.8,1656.5,4.9,30.89,92.75
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,359697 - EMERSON APARECIDO MENEZES DA SILVA,66.5,1614.9,4.6,11.14,
CAPINÓPOLIS - MG,SULCAGEM,263 - SULCADOR,TRATOR JOHN DEERE 7230J,62242 - TRATOR JOHN DEERE 7230J,359698 - GETULIO DE JESUS SANTOS,66.5,1716.4,6.6,15.96,55.96
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62502 - COLHEDORA JOHN DEERE CH570,601116 - RICARDO TAVARES DO NASCIMENTO,66.4,1812.9,3.6,33.60,109.20
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62233 - TRATOR JOHN DEERE 7230J,600834 - SILENE LEANDRO DOS SANTOS,65.8,1574.7,4.1,8.82,
