Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62515 - COLHEDORA JOHN DEERE CH570,359619 - UANDERSON UOSHINTON BATISTA,425.2,1797.5,4.2,35.40,70.67
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62506 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,413.4,1975.9,4.3,34.94,87.45
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,601495 - FLAVIO DOS SANTOS SILVA,409.9,1807.8,4.4,33.39,71.23
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,601312 - KEFTHER GONZALES SILVA MALUF,408.6,1582.3,4.4,12.47,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,359689 - FERNANDO COSTA DE ARAUJO,407.8,1865.5,4.5,35.15,67.06
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62505 - COLHEDORA JOHN DEERE CH570,600609 - ELISEU ARAUJO DOS SANTOS,405.5,1841.9,4.5,36.06,70.63
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62521 - COLHEDORA JOHN DEERE CH570,600394 - SERGIO BARBOSA PEREIRA,400.8,1813.0,4.8,34.11,75.72
CAPINÓPOLIS - MG,VINHACA ENRIQ- 2 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62249 - TRATOR JOHN DEERE 7230J,359653 - GENIVALDO DA SILVA QUEIROZ,398.7,1742.0,4.7,10.41,36.29
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62520 - COLHEDORA JOHN DEERE CH570,600294 - TIAGO SOARES DA SILVA,398.0,1821.7,5.1,36.58,59.86
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62513 - COLHEDORA JOHN DEERE CH570,600609 - ELISEU ARAUJO DOS SANTOS,395.4,1780.7,4.0,32.66,71.61
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,393.4,2058.4,4.5,35.13,151.57
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62237 - TRATOR JOHN DEERE 7230J,359653 - GENIVALDO DA SILVA QUEIROZ,392.4,1872.6,3.4,13.00,14.22
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62520 - COLHEDORA JOHN DEERE CH570,600356 - DENNER RALF DA SILVA,385.7,1834.1,5.6,37.04,57.86
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62512 - COLHEDORA JOHN DEERE CH570,600991 - HOBBER DENILLO NOGUEIRA DA SILVA,385.5,1817.7,5.1,33.83,61.38
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,359665 - LEANDRO LUIS DA SILVA,384.5,1842.6,4.5,34.12,75.55
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62237 - TRATOR JOHN DEERE 7230J,600189 - JESSICA GOMES DE LUCENA,379.0,1696.2,3.5,10.99,12.67
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,600259 - EDILSON MIRANDA DA SILVA,377.5,1640.2,4.9,10.21,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62518 - COLHEDORA JOHN DEERE CH570,359650 - WELLINGTON OLIONES NOGUEIRA,373.8,1693.1,4.9,30.12,55.41
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62521 - COLHEDORA JOHN DEERE CH570,359774 - GIRVAINE JOSE TEODORO,372.9,1823.6,4.9,36.27,73.78
